,Language,ISO,Size (K),Family,Genus,Measure 1,iso_2
0,Hebrew,heb,161,Afro-Asiatic,Semitic,,he
1,Arabic,arb,202,Afro-Asiatic,Semitic,,ar
2,Vietnamese,vie,43,Austro-Asiatic,Viet-Muong,,vi
3,Basque,eus,121,Basque,Basque,,eu
4,Latvian,lav,90,IE,Baltic,,lv
5,Afrikaans,afr,49,IE,Germanic,,af
6,Danish,dan,100,IE,Germanic,,da
7,Dutch,nld,208,IE,Germanic,,nl
8,English,eng,254,IE,Germanic,,en
9,Norwegian-Bokmaal,nob,310,IE,Germanic,,no
10,Norwegian-Nynorsk,nno,301,IE,Germanic,,no
11,Swedish,swe,96,IE,Germanic,,sv
12,Greek,ell,63,IE,Greek,,el
13,Hindi,hin,351,IE,Indic,,hi
14,Urdu,urd,138,IE,Indic,,ur
15,Persian,pes,152,IE,Iranian,,fa
16,Catalan,cat,531,IE,Romance,,ca
17,French,fra,402,IE,Romance,,fr
18,Galician,glg,138,IE,Romance,,gl
19,Italian,ita,293,IE,Romance,,it
20,Portuguese,por,227,IE,Romance,,pt
21,Romanian,ron,218,IE,Romance,,ro
22,Spanish-AnCora,spa,431,IE,Romance,,es
23,Bulgarian,bul,156,IE,Slavic,,bg
24,Croatian,hrv,197,IE,Slavic,,hr
25,Czech,ces,2222,IE,Slavic,,cs
26,Polish,pol,83,IE,Slavic,,pl
27,Russian-SynTagRus,rus,1107,IE,Slavic,,ru
28,Serbian,srp,86,IE,Slavic,,sr
29,Slovak,slk,106,IE,Slavic,,sk
30,Slovenian,slv,140,IE,Slavic,,sl
31,Ukrainian,ukr,100,IE,Slavic,,uk
32,Chinese,cmn,123,Sino-Tibetan,Sinitic,,zh
33,Turkish,tur,58,Turkic,Turkic,,tr
34,Estonian,est,106,Uralic,Finnic,,et
35,Finnish,fin,202,Uralic,Finnic,,fi
36,Hungarian,hun,42,Uralic,Ugric,,hu
