ISO,Language,C_wals,Semantic Dist. (All Tokens),Semantic Dist. (Non-Id. Tokens),Semantic Var. (All Tokens),Semantic Var. (Non-Id. Tokens),D_struct,GZIP-Ratio,Morpho. Sum,No.  Morpho. Categories,Lemma = Wordform Prop. (Tokens),Lemma = Wordform Prop. (Types)
heb,Hebrew,0.5291446208,35.5384276249645,46.2548053295224,24.8617373526496,28.1681487868319,0.521514650185185,0.24418677248446805,44,16,0.572367756660136,0.234324198792383
cat,Catalan,0.234375,5.83378877775511,10.766358418329698,5.61700969330503,10.027995923193199,0.35129094314814796,0.132459174866218,55,17,0.6684441526774829,0.567200233601444
rus,Russian,0.45340136049999996,12.955380326382999,15.7165100246878,12.304251113640099,14.7582568329373,0.416558859801498,0.266570473257734,39,17,0.47813818717845,0.136168549427354
fra,French,0.43411172159999994,6.11061301845886,11.2956007617191,5.85462371263803,10.420846470812,0.29021055328775497,0.131178870087708,37,17,0.6534961390474949,0.650422379759732
swe,Swedish,0.3289473684,7.73182257634782,13.570216928752599,7.536672296192569,12.9690289010013,0.20775156779569898,0.177054938562948,40,16,0.602247492744193,0.399051037167711
glg,Galician,,10.3498035235379,18.217415401707303,9.902710006062572,16.8321511641583,,0.14679449739944597,2,16,0.5951433830077779,0.401624117615838
hun,Hungarian,0.5581632653,10.4995270922238,17.1785646761757,10.206350730506001,16.3937041800839,0.48065810000000003,0.223675678093066,71,16,0.661020175104682,0.398962257445447
cmn,"Chinese, Mandarin",,0.0188012300409734,31.9276221479131,0.0187935293084532,5.2816676157748494,0.0452915955354839,0.0912084611589041,12,15,0.998147758919657,0.999532523039936
eng,English,0.3292517007,3.46511878415915,10.181557890017901,3.40995211424566,9.70519879272106,0.18990975321428602,0.0984165682218593,35,17,0.776485593643299,0.647325137065958
slk,Slovak,,13.771790073470399,18.515734922560398,13.189676939698401,17.4634895002265,0.38042841935483895,0.19382742080016896,62,17,0.47604491043624797,0.19467466055369395
spa,Spanish,0.43963844799999996,7.74969375087388,13.127267934814599,7.47667514794986,12.3438706639773,0.275447749253259,0.13752676520526502,55,17,0.6724443719057719,0.519210684207018
pol,Polish,0.5297619048,12.9101688068641,16.6158827207244,12.405544186422999,15.7799747926124,0.4123872458656721,0.202063404059338,57,15,0.4681436500782771,0.206856149368811
arb,"Arabic, Standard",0.8,33.8578042335223,48.06717877865871,21.8521745421135,23.8694749604429,0.5712663478787879,0.20590518425645396,36,16,0.129512935079837,0.18598954931417397
srp,Serbian,0.44166666670000004,13.4928851167138,17.9284859656644,12.9759226325534,17.0157361878463,0.368241067946237,0.173669713196333,37,13,0.46175392489107103,0.263251373702614
hrv,Croatian,0.44166666670000004,12.092298901286199,15.8800988426231,11.6416224193345,15.102851705346401,0.393303652233533,0.172487139624012,53,17,0.47005744909766295,0.267488046145673
nno,Norwegian,,6.96429985538085,14.6525303653089,6.87220574426752,14.2448331288322,0.22305909079874198,0.141977651275564,37,17,0.5471390694633871,0.47043627180633396
dan,Danish,0.3928571429,6.01679533712593,11.2241520385235,5.89861465351076,10.812855449600802,0.264152862596774,0.134790825584389,45,17,0.654403224365402,0.473792712467144
nob,Norwegian,,6.1318264639351705,11.077070246224698,5.99971613394767,10.6459249429406,0.24154326612916702,0.14724586404144,39,17,0.544700246919948,0.465118874874428
nld,Dutch,0.3307291667,4.86982470951868,11.3661215434602,4.807760757954821,11.028000436659699,0.267069739079365,0.126440534726491,30,16,0.7372467442830228,0.619012153424287
hin,Hindi,0.5307619048,3.99713100357873,15.7319514161122,3.96291709698679,15.201854479693,0.251593532928889,0.15484858164042098,43,16,0.7178735527602759,0.733010198929617
lav,"Latvian, Standard",0.5243333333,14.033902420227802,18.554337463029,13.5507932313146,17.7098565498468,0.45405675901234605,0.19770228190531797,56,16,0.47746634811491206,0.22926008968609898
ukr,Ukrainian,0.4666666667,12.5932610307326,17.0231668615015,12.0679272230914,16.0632197785257,0.37945765236021506,0.277099501993445,67,17,0.540492606910845,0.24934995666377802
urd,Urdu,0.3611111111,5.116858379393941,20.339270240587197,5.08702886249016,19.867789655702,0.250676087638889,0.117473721954953,42,16,0.751834121540879,0.746655448043753
ell,Greek,0.45191326530000003,12.9339033136601,17.21835666873,12.1999474809307,15.9175498596916,0.315574237833333,0.216701435376903,42,16,0.40997404352700895,0.270853858784893
eus,Basque,0.6474489796,11.6073108117081,15.8462870269876,11.337960997965698,15.3442678536876,0.589357176345679,0.14259452730788902,69,16,0.47514471809820297,0.24654614932392702
pes,"Persian, Iranian",0.5241758242,23.034082278193196,41.087972832994,18.8196457303087,27.6773121710758,0.364646931944444,0.17248371127856602,30,15,0.774328679536479,0.42510561255280604
ces,Czech,0.6363636364,11.155159949789699,14.883304988035901,10.594886095664199,13.8859509346085,0.372264072898551,0.20039357805651398,87,17,0.524892064594272,0.26482113426385
bul,Bulgarian,0.4765625,9.38490498003874,13.8952973609335,9.048168730950891,13.157088296464801,0.307562342048889,0.24938702453026002,45,16,0.509199546586914,0.200704345744863
fin,Finnish,0.47701465200000004,18.4606606271346,22.0130882261217,17.8640594127904,21.1647789525112,0.4270587916666671,0.21117621671488698,83,15,0.42513154771324607,0.172166329018302
ita,Italian,0.3848039216,7.660076286063799,13.2352011088904,7.38257007821764,12.4067208279786,0.312068892344388,0.11450297834949401,40,17,0.598259854838296,0.504814522494081
afr,Afrikaans,0.125,3.88924519905002,11.2839285051385,3.8404158512837405,10.8727039175666,0.191916322345833,0.128612606567128,40,16,0.8115309684227622,0.591591145446442
tur,Turkish,0.7754850087999999,21.1430591132201,26.938383803566104,20.443672229777,25.8030222235497,0.5961719762162161,0.219165343347217,67,14,0.47663926879488394,0.18232044198895
est,"Estonian, Standard",0.6153846154,17.8926526471539,23.801998147662,17.2025383963861,22.580733905472,0.406619911107438,0.17037338444570602,59,16,0.48311946012223994,0.19369204935387302
slv,Slovene,0.5555555556,12.528030787559302,16.4108491620615,12.081121591944099,15.643978642961098,0.3613922427956989,0.17227848466487802,62,16,0.474152271273193,0.22361154825603
ron,Romanian,0.4722222222,8.62217931728004,12.1017396420205,8.38284318278732,11.6302446155133,0.257927242666667,0.16444801665846698,58,17,0.56339955425585,0.335877212891512
por,Portuguese,0.453125,6.2285072963319,10.9614319216432,5.945236384700809,10.0840542102113,0.3298241974275,0.13972413387447802,47,17,0.6582468389876579,0.5399105792622789
vie,Vietnamese,0.1407848325,0.0,,0.0,0.0,0.146142415828452,0.0156960390233953,2,14,1.0,1.0
